engineer_id,engineer_name,gender,ethnicity,lifetime,occupations,institutions,regions,continents,notable_achievements,inventions,designs,num_of_patents,engineering_contributions,research,education,model,model_image,quotes,firms,firm_speciality,firm_founding_date,firm_business_region,num_of_corroborative_sources,source_ids,source_page_references,video_timestamp,primary_source_ids,primary_source_page_references
EID0,Hertha Ayrton,Female,English,1854 - 1923,Electrical Engineer,"WES, IEE",The United Kingdom,Europe,"First female member of the Institute of Electrical Engineers (1899), Royal Society Hughes Medal (1906) First woman to win this medal, President of WES","Line Divider (1884), Anti-Gas Fan",null,null,null,Electrical Arc Lighting Research,Bachelors Degree in Mathematics at Cambridge University,null,null,null,null,null,null,null,null,null,null,null,null,null
EID1,Margaret Partridge,Female,English,1891 - 1967,"Electrical Engineer, Businesswoman",WES,The United Kingdom,Europe,President of WES (1944-1945),null,null,null,null,null,Bachelors Degree in Mathematics at Bedford College,null,null,null,Margaret Partridge & Company,Electrical Supplies,null,United Kingdom,null,null,null,null,null,null
EID2,Hilda Lyon,Female,English,1896 - 1946,Aerodynamics Engineer,WES,The United Kingdom,Europe,"First woman to be awarded the R38 Memorial Prize by the Royal Aeronautical Society, President of WES",null,The Lyon Shape,null,null,Transverse Frames of Rigid Airships(1930),"Bachelors Degree in Mathematics at Cambridge University, Masters Degree in Mathematics at Massachusetts Institute of Technology (MIT)",null,null,null,null,null,null,null,null,null,null,null,null,null
EID3,Beatrice Shilling,Female,English,1909 - 1990,Mechanical Engineer,WES,The United Kingdom,Europe,President of WES,R.A.E Restriction,null,null,null,null,"Bachelors Degree in Electrical Engineering at the University of Manchester, Masters Degree in Mechanical Engineering a the Unviersity of Manchester",null,null,null,null,null,null,null,null,null,null,null,null,null
EID4,Verena Holmes,Female,English,1889 - 1964,Marine & Locomotive Engineer,"WES, IME",The United Kingdom,Europe,"First woman to become Associate Member of IME(1924), President of WES(1931-1932)","Engine Valves, Medical Support Devices",null,12,Internal Combustion Engine Improvements,null,Bachelor of Science in Engineering at Loughborough Technical College,null,null,null,null,Engineering,1946,United Kingdom,null,null,null,null,null,null
EID5,Gertrude Entwisle,Female,English,1892 - 1961,Electrical Engineer,"WES, IEE",The United Kingdom,Europe,"First woman to become Student Member  of IEE (1916), First woman to become Associate Member of IEE (1920), First woman to retire from a complete career in industry as a professional engineer, President of WES(1942 - 1943)",null,"Direct Current Motors, Engine Exciters",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EID6,Ktesibios (Ctesibius),Male,Babylonian,285 - 222 BCE,Mechanical Engineer,,Ancient Alexandria,*Africa/Europe/Asia,null,"Singing Cornucopia, Force Pump, Hydraulic Pipe Organ, Musical Keyboard, Metal Spring",null,null,null,Pneumatic Machinery,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EID7,Iris A. Cummins,Female,English,*,* Civil Engineer,WES,The United Kingdom,Europe,null,null,null,null,null,null,Bachelor of Engineering (BE) at National University of Ireland,null,null,null,null,null,null,null,null,null,null,null,P23A1,p.3
EID8,Frank Malina,Male,Czechoslovakian-American,*,"Mechanical Engineer, Chief Engineer at JPL, Director at JPL, Founding Member of JPL","GALCIT, JPL, Soil Conservation Society",The United States of America,North America,Contributed to the development of the first American rocket-powered airplane,null,null,null,Contributed to the development of the first American rocket-powered airplane,"Jet-Assisted Takeoff (Rocket Plane), Solid Rocket Propellants, Liquid Rocket Propellants","Bachelor of Mechanical Engineering at Texas A&M University, PhD in Engineering at California Institute of Technology",null,null,null,null,null,null,null,1,C23A3,p.14-27,null,null,null
EID9,Jack Parsons,Male,American,*,"Aeronautical Engineer, Founding Member of JPL","GALCIT, JPL",The United States of America,North America,Contributed to the development of the first American rocket-powered airplane,null,null,null,null,"Jet-Assisted Takeoff (Rocket Plane), Solid Rocket Propellants, Liquid Rocket Propellants",null,null,null,null,null,null,null,null,1,C23A3,p.14,null,null,null
EID10,Ed Forman,Male,American,*,"Aeronautical Engineer, Founding Member of JPL","GALCIT, JPL",The United States of America,North America,Contributed to the development of the first American rocket-powered airplane,null,null,null,null,"Jet-Assisted Takeoff (Rocket Plane), Solid Rocket Propellants, Liquid Rocket Propellants",null,null,null,null,null,null,null,null,1,C23A3,p.14,null,null,null
EID11,Richard Canright,Male,,*,"Aeronautical Engineer, Mathematician, Computer","GALCIT, JPL",The United States of America,North America,Contributed to the development of the first American rocket-powered airplane,null,null,null,Contributed to the development of the first American rocket-powered airplane,"Jet-Assisted Takeoff (Rocket Plane), Solid Rocket Propellants, Liquid Rocket Propellants",CALTECH,null,null,null,null,null,null,null,null,C23A3,p.14-26,null,null,null
EID12,Theodore von Kármán,Male,,*,"Aeronautical Engineer, Director of Jet Propulsion Laboratory",*JPL(19xx - 1944),The United States of America,North America,Contributed to the development of the first American rocket-powered airplane,null,null,null,null,Jet-Assisted Takeoff (Rocket Plane),California Institute of Technology,null,null,null,null,null,null,null,1,C23A3,p.19-27,null,null,null
EID13,Hans von Ohain,Male,European,*,Aeronautical Engineer,*,Germany,Europe,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,C23A3,p.20,null,null,null
EID14,Frank Whittle,Male,English,*,Aeronautical Engineer,*,The United Kingdom,Europe,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,C23A3,p.20,null,null,null
EID15,August Piccard,Male,Swiss,*,Physicist,*,Switzerland,Europe,null,Compressed Air Aluminium Sphere,null,null,null,null,null,null,null,null,null,null,null,null,null,C23A4,null,null,null,null
EID16,Imhotep,Male,,*,"Engineer, Architect, Royal Chancellor, Administrator of the Great Mansion, Hereditary Noble, Heliopolitan Hight Priest",*,Ancient Egypt,Africa,Built the first pyramids,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C23A1,p.30,null,null,null
EID17,Rahotep,Male,,*,"Engineer, Architect",*,Ancient Egypt,Africa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C23A2,p.30,null,null,null
EID18,Khnumabra,Male,,490 BCE,"Engineer, Architect, Minister of Public Works",*,Ancient Egypt,Africa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C23A3,p.30,null,P23A3,null
EID19,Hsue-Shen Tsien,Male,Chinese-American,,"Engineer, Founding Member of JPL","GALCIT, JPL","China, The United States of America","Asia, North America",,,,,,,"Massachusetts Institute of Technology, PhD in Engineering at California Institute of Technology",,,,,,,,1,C23A3,p.18,,,
EID20,A.M.O Smith,Male,American,,"Engineer, Founding Member of JPL","GALCIT, JPL",The United States of America,North America,,,,,,,,,,,,,,,1,C23A3,p.18,,,
EID21,Wernher von Braun,Male,German,,"Rocket Scientist, Engineer",Redstone Arsenal / Army Ballistic Missile Agency,Germany,Europe,,"Vergeltungswaffe Zwei (V-2), Redstone Rocket",,,,,,,,,,,,,,,,,,
EID22,Rudolf Hermann,Male,German,,,,Germany,Europe,,,,,,,,,,,,,,,,,,,,
EID23,Margaret Anderson,Female,American,,,"GALCIT, JPL",The United States of America,North America,,,,,,,,,,,,,,,,,,,,
EID24,Louis Dunn,Male,American,,"Engineer, Director of JPL","GALCIT, JPL",The United States of America,North America,,,,,,,,,,,,,,,,,,,,
EID25,Martin Summerfield,Male,American,,Engineer,Aerojet-Rocketdyne,The United States of America,North America,,,,,,,,,,,,,,,,,,,,
EID26,William Pickering,Male,American,,"Electrical Engineer, Director of JPL","GALCIT, JPL",The United States of America,North America,,,,,,Inertial Guidance System,,,,,,,,,,,,,,
EID27,Marie Crowley,Female,American,,"Chemical Engineer, Data Scientist, Mathematician, Computer","GALCIT, JPL",The United States of America,North America,,,,,,,,,,,,,,,,,,,,
EID28,Sol Galom,,,,"Engineer, Chess Player","GALCIT, JPL",The United States of America,North America,,,,,,,,,,,,,,,,,,,,
EID29,Jerome Hunsaker,Male,American,null,"Aeronautical Engineer, Head of Aeronautics at MIT",MIT,The United States of America,North America,null,null,Deicing Plane Windshields,null,Deicing Plane Windshields,Deicing Plane Windshields,null,null,null,null,null,null,null,null,1,C23A3,p.21,null,null,null
EID30,Edwin Yee Chow,Male,Hong Kong-American,,Structural Engineer,JPL,"Hong Kong, The United States of America","Asia, North America",null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,C23A3,p.47,null,null,null