intellectual_contribution_id,date_contributed,research_contribution_name,researchers,mathematics,writing,science,engineering,philosophy,multi_regional,regions,num_of_corroborative_sources,source_ids,source_page_references,primary_source_ids,primary_source_page_references
ICID0,null,Cuneiform,null,FALSE,TRUE,FALSE,null,FALSE,null,Ancient Sumeria,null,C23A1,null,null,null
ICID1,null,Electrical Arc Lighting Research,Hertha Ayrton,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United Kingdom,null,C23A2,p.1,null,null
ICID2,Great Depression Era (Convert to actual date later),Mathematical Tables Project Series,Works Progress Administration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The United States of America,null,C23A3,p.18,null,null
ICID3,null,Near-Earth Asteroid Tracking,JPL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The United States of America,1,C23A3,p.7,null,null
ICID4,null,Jet-Assisted Takeoff (Rocket Planes),JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.17-22,null,null
ICID5,null,Solid Propellant,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.30-34,null,null
ICID6,null,Liquid Propellant,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.30-34,null,null
ICID7,1930,Transverse Frames of Rigid Airships,Hilda Lyon,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United Kingdom,null,C23A2,null,null,null
ICID8,null,Liquid Propellant Refinement,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,null,null,null,null,null
ICID9,null,Hypergolic Propellant,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,null,null,null,null,null
ICID10,,Command Guidance System,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,
ICID11,,Inertial Guidance System,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,
ICID12,,Guided Missile Systems,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,
ICID13,,Microlock Tracking System,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,
ICID14,,Phase Locked Signal Loop,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,
ICID15,null,Deicing Plane Windows,MIT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.22,null,null
ICID16,null,Gas Propellant,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.30-31,null,null
ICID17,null,Rocket Engine Thrust,JPL,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.31,null,null
ICID18,null,Specific Impulse,JPL,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The United States of America,1,C23A3,p.32,null,null