source_id,source_reliability_rating,authorship_and_expertise,publication_source,citations_and_references,objectivity_and_bias,date_of_publication,audience_and_intent,cross_referencing,plagiarism_copyright_infringement,peer_review_scholarly_consensus,online_reputation,transparency_citations,primary_secondary_sources,rating_justifications
C23A1,76,8,8,7,7,6,6,5,4,8,5,6,6,"(Authorship & Expertise ) Biography of L Sprague de Camp https://www.enotes.com/topics/sprague-de-camp , (Publication Source) Publisher: Barns & Noble Books, (Citations & References, Transparency & Citations, Primary/Secondary Sources) See page 385 of Ancient Engineers, (Peer-Review & Scholarly Consensus) See review of Ancient Engineers https://www.science.org/doi/10.1126/science.140.3574.1387.b  "
C23A2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C23A3,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C23A4,null,null,null,null,null,null,null,null,null,null,null,null,null,null
P23A1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
P23A2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
P23A3,27,7,6,1,1,1,3,1,4,1,0,1,1,null
P23A4,null,null,null,null,null,null,null,null,null,null,null,null,null,null
P23A5,null,null,null,null,null,null,null,null,null,null,null,null,null,null
P23A6,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C23A5,null,null,null,null,null,null,null,null,null,null,null,null,null,null